name	rooms_1	rooms_2	rooms_3	rooms_4	job_sales	units_5_9	class_govt	race_asian	race_mixed	age_85_over	income_mean	job_service	rent_median	in_arts_food	race_pacific	value_median	grapi_35_more	income_median	units_20_more	rent_1500_1999	rent_2000_2499	rent_2500_2999	rent_3000_more	built_1960_1969	built_1970_1979	in_public_admin	occupied_renter	income_200000_more	value_1000000_more	ancestry_portuguese	value_500000_999999	edu_associate_degree	income_100000_149999	income_150000_199999	rank_rooms_1	rank_rooms_2	rank_rooms_3	rank_rooms_4	rank_job_sales	rank_units_5_9	rank_class_govt	rank_race_asian	rank_race_mixed	rank_age_85_over	rank_income_mean	rank_job_service	rank_rent_median	rank_in_arts_food	rank_race_pacific	rank_value_median	rank_grapi_35_more	rank_income_median	rank_units_20_more	rank_rent_1500_1999	rank_rent_2000_2499	rank_rent_2500_2999	rank_rent_3000_more	rank_built_1960_1969	rank_built_1970_1979	rank_in_public_admin	rank_occupied_renter	rank_income_200000_more	rank_value_1000000_more	rank_ancestry_portuguese	rank_value_500000_999999	rank_edu_associate_degree	rank_income_100000_149999	rank_income_150000_199999
South Carolina	1.5	1.5	5.8	15.2	22.0	4.2	15.0	1.6	3.0	1.7	76390	17.5	918	10.0	0.1	170100	40.3	54864	5.2	8.1	2.0	0.7	0.7	8.8	14.5	4.5	29.9	5.1	1.6	0.2	6.1	9.9	13.4	5.2	40	48	48	30	7	28	22	38	42	40	43	16	28	10	13	37	12	42	32	30	27	26	28	35	34	28	41	35	22	17	32	15	42	40
South Dakota	1.8	2.9	8.0	15.8	21.3	3.9	15.5	1.4	3.4	2.3	77932	16.8	761	8.9	0.1	174600	30.3	59896	6.5	3.4	0.8	0.3	0.6	8.3	16.3	4.9	32.0	4.4	0.9	0.1	4.3	11.6	15.1	5.1	29	19	26	24	22	36	18	44	37	11	38	28	49	29	13	36	52	32	25	47	47	39	33	43	18	18	34	45	35	29	37	3	29	42
Tennessee	1.5	1.8	6.8	15.5	21.8	4.6	13.3	1.8	2.9	1.8	76937	16.5	897	9.6	0.1	177600	37.9	54833	4.9	8.2	2.0	0.6	0.6	10.0	15.1	4.2	33.5	5.1	1.3	0.1	6.2	7.5	13.3	4.9	40	42	42	27	12	16	37	36	44	34	41	36	29	15	13	34	27	43	35	29	27	28	33	27	29	36	26	35	27	29	31	45	43	44
Texas	2.2	3.5	10.2	16.2	22.0	4.6	13.3	4.9	7.0	1.4	89506	16.9	1082	9.0	0.1	187200	38.8	63826	9.4	14.4	4.2	1.2	1.0	8.8	14.9	4.0	37.7	7.8	1.7	0.1	6.6	7.4	15.6	7.0	19	13	8	20	7	16	37	12	9	49	19	25	20	22	13	32	21	22	13	20	17	17	18	35	30	41	7	16	21	29	28	47	27	19
Utah	1.7	2.3	6.6	13.4	23.7	3.4	14.6	2.3	4.2	1.1	94452	14.9	1090	8.8	0.9	305400	34.8	74197	7.2	15.2	3.5	0.8	0.9	7.0	15.8	4.7	29.5	7.0	2.1	0.2	13.3	10.0	19.2	7.8	35	31	44	48	4	43	23	32	23	51	16	51	19	31	3	11	44	13	22	18	21	24	21	49	22	23	42	22	17	17	12	13	4	15
Vermont	3.8	3.6	8.9	15.0	19.2	4.8	14.6	1.6	2.7	2.2	83767	16.7	999	9.7	0.0	230900	40.0	63477	4.0	12.1	3.3	0.9	0.9	8.3	15.7	5.0	28.7	6.0	1.1	0.4	7.2	8.8	16.4	6.1	6	10	19	34	50	12	23	38	48	16	26	33	25	14	32	24	16	24	43	25	22	22	21	43	24	16	47	25	32	11	26	24	19	26
Virginia	1.5	2.1	7.0	14.0	19.8	4.6	20.0	6.7	4.8	1.7	106023	16.4	1257	8.7	0.1	282800	37.9	76398	7.8	20.8	9.2	3.7	3.1	10.5	15.4	8.8	33.3	11.6	3.0	0.2	18.0	7.9	17.2	9.0	40	36	37	40	46	16	8	8	15	40	8	39	10	35	13	13	27	11	19	7	9	7	8	21	26	4	28	7	11	17	10	41	14	10
Washington	3.4	4.3	9.4	15.8	19.5	4.4	15.6	8.8	7.1	1.8	103669	16.5	1337	9.0	0.7	366800	37.9	77006	11.5	22.7	10.6	3.7	3.4	9.3	15.5	5.0	36.7	10.5	5.9	0.3	24.0	10.1	18.2	8.9	7	4	15	24	47	23	17	4	8	34	10	36	6	22	4	6	27	10	8	5	7	7	7	32	25	16	11	10	6	14	5	12	8	11
West Virginia	1.8	1.4	5.4	14.3	21.7	2.9	19.6	0.8	2.4	2.2	65332	19.0	732	9.0	0.0	123200	38.8	48037	2.6	3.0	0.8	0.1	0.2	9.0	16.2	6.9	26.3	3.1	0.5	0.1	1.9	7.6	11.9	3.9	29	49	51	39	15	48	9	49	50	16	50	7	51	22	32	51	21	50	51	50	47	52	50	34	20	8	52	51	51	29	51	44	49	51
Wisconsin	2.0	2.4	8.4	16.1	20.3	4.9	12.3	2.8	3.4	2.3	82757	16.2	872	8.2	0.0	189200	34.9	63293	7.5	5.7	1.3	0.4	0.6	9.7	14.5	3.5	32.9	5.2	0.8	0.1	4.6	11.0	16.3	6.1	25	28	24	21	44	10	42	26	37	11	29	41	34	42	32	30	43	25	20	39	38	33	33	30	34	49	29	31	39	29	36	6	21	26
Wyoming	1.7	2.5	7.0	16.3	19.0	3.4	20.6	0.8	3.9	1.7	83583	17.4	853	9.8	0.1	228000	32.0	65304	3.3	8.5	1.9	0.5	0.3	7.5	19.2	5.9	29.0	5.0	2.7	0.2	7.0	11.4	17.5	6.2	35	26	37	17	51	43	6	49	27	40	27	17	38	12	13	25	50	21	48	28	29	30	46	47	4	10	44	37	12	17	27	5	13	24
